JosserandSetID	CORR_SET	SUBSET	SOUND_FROM	SOUND_TO	ENVIRONMENT_LEFT	ENVIRONMENT_RIGHT	JosserandID	COMP	PRESENT	SOURCE	PAGE
Josserand048	14	1	*u	ø; w	k	+ɨku, +ã		no_me	NA	josserand1983mixtec	349
Josserand049	15	1	*u	u; o; i	n, t	n	88, 183	yes	yes	josserand1983mixtec	353
Josserand050	15	2	*u	u; o; i; ü; a	l, s, ⁿd	ʔwẽ, xẽʔ	6, 16, 17	yes	yes	josserand1983mixtec	353
Josserand051	15	3	*ũ	u; wĩ; e; o; i; ø; ɨ	C	#	54, 55, 65, 66, 103, 180	yes	yes	josserand1983mixtec	353
Josserand052	16	1	*u	u; i; ɨ; ü; o; yo	#C	(ʔ)C	21, 22, 53, 60, 96, 153, 171, 182	yes	yes	josserand1983mixtec	355
Josserand053	16	2	*u	u; a; i; e; o; ui	C	(ʔ)#	57, 149, 173	no_me	NA	josserand1983mixtec	355
Josserand054	18	1	*o	u; o; e; ia; i; yo; ʔ: ži	#	(ʔ)we	29, 47	yes	yes	josserand1983mixtec	375
Josserand055	18	2	*o	u; o; ɨ	t	wĩ	5	yes	yes	josserand1983mixtec	375
Josserand056	19	1	*o	u; o	C, #	ʔõ#	9, 27, 28	yes	yes	josserand1983mixtec	378
Josserand057	19	1	*o	u; o	k	yõ#	30	yes	yes	josserand1983mixtec	378
Josserand058	19	1	*o	u; o	y	nõʔ#	42	yes	yes	josserand1983mixtec	378
Josserand059	19	2	*õ	u; o; a; i	y, n	#	30, 42	yes	yes	josserand1983mixtec	378
Josserand060	20	1	*o	u; o; ɨ	#(C)	n	26, 85, 89	yes	yes	josserand1983mixtec	382
Josserand061	20	2	*o	u; o; ɨ; i	n	(ʔ)#	82, 188	no_me	NA	josserand1983mixtec	382
Josserand062	20	2	*õ	u; o; ɨ; i	y, k	#	48, 49, 106	yes	yes	josserand1983mixtec	382
Josserand063	21	1	*o	o	#k, ⁿd	oʔ#	69, 93	no_nc	NA	josserand1983mixtec	390
Josserand064	21	1	*o	o	y	Coʔ#	98, 156	no_nc	NA	josserand1983mixtec	390
Josserand065	21	2	*o	u; o	C	ʔ#	18, 19, 98, 156	yes	no	josserand1983mixtec	390
Josserand066	22	1	*a 	a; i; e	s	ʔyi#	110	yes	yes	josserand1983mixtec	412
Josserand067	22	2	*a 	a; e	s, k	(ʔ)yu#	111, 141	no_me	NA	josserand1983mixtec	412
Josserand068	22	3	*a 	a; e	t	ya#	186	yes	yes	josserand1983mixtec	412
Josserand069	23	1	*a 	a	iy	#	74	no_nc	NA	josserand1983mixtec	417
Josserand070	23	2	*a 	a; i; e; o	eʔy	(ʔ)#	159, 162	yes	yes	josserand1983mixtec	417
Josserand071	23	3	*a 	a; i	ay	#	186	yes	yes	josserand1983mixtec	417
Josserand072	24	1	*a 	a	#C		50, 73, 112, 147	no_nc	NA	josserand1983mixtec	421
Josserand073	24	2	*a 	a		ã, (ʔ)n	65, 78	no_nc	NA	josserand1983mixtec	421
Josserand074	24	3	*a 	a; u; o	C	#	76, 92, 132, 172	yes	yes	josserand1983mixtec	421
Josserand075	24	4	*a 	a; ɨ	(n)	#	77, 86	no_me	NA	josserand1983mixtec	421
Josserand076	25	1	*e 	a; e; i	# alveolars (l, s, n, ⁿd)		13, 57, 87, 149, 150, 160	yes	yes	josserand1983mixtec	426
Josserand077	25	2	*e 	a; e; i; u	alveolars (t, ⁿd, n)	(ʔ)#	22, 23, 53, 88, 118, 120	yes	yes	josserand1983mixtec	426
