ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
79	GREEN BEAN	ejote	308	AbasoloValleMixtec	nchichi	nchichi	ⁿdʃ i ³ tʃ i ³	ⁿdʃ i ³ tʃ i ³	NA	galindo-sanchez2009vocabulario
80	CHILI PEPPER	chile	107	AbasoloValleMixtec	ya'a	ya'a	ʒ a ³ ʔ a ³	ʒ a ³ ʔ a ³	NA	galindo-sanchez2009vocabulario
81	SALT	sal	624	AbasoloValleMixtec	iìn	iìn	ĩ ³ ĩ ¹	ĩ ³ ĩ ¹	NA	galindo-sanchez2009vocabulario
82	SQUASH	calabaza	570	AbasoloValleMixtec	iki	iki	i ³ k i ³	i ³ k i ³	NA	galindo-sanchez2009vocabulario
83	CHAYOTE	chayote	96	AbasoloValleMixtec	naña	naña	n a ³ ɲ a ³	n a ³ ɲ a ³	NA	galindo-sanchez2009vocabulario
84	SUGAR CANE	caña	734	AbasoloValleMixtec	ntòò	ntòò	ⁿd o ¹ o ¹	ⁿd o ¹ o ¹	NA	galindo-sanchez2009vocabulario
85	HONEY	miel	344	AbasoloValleMixtec	ntuxi	ntuxi	ⁿd u ³ ʃ i ³	ⁿd u ³ ʃ i ³	NA	galindo-sanchez2009vocabulario
86	FAT (FROM ANIMALS)	grasa, manteca	216	AbasoloValleMixtec	xa'an	xa'an	ʃ a ³ ʔ ã ³	ʃ a ³ ʔ ã ³	NA	galindo-sanchez2009vocabulario
87	EGG	huevo, blanquillo	204	AbasoloValleMixtec	ntívi	ntívi	ⁿd i ⁵ β i ³	ⁿd i ⁵ β i ³	NA	galindo-sanchez2009vocabulario
88	SWEET POTATO	camote	738	AbasoloValleMixtec	ña'mi	ña'mi	ɲ a ³ ʔ m i ³	ɲ a ³ ʔ m i ³	NA	galindo-sanchez2009vocabulario
89	AVOCADO	aguacate	8	AbasoloValleMixtec	tichi	tichi	t i ³ tʃ i ³	t i ³ tʃ i ³	NA	galindo-sanchez2009vocabulario
90	BANANA	plátano	13	AbasoloValleMixtec	nchikà	nchikà	ⁿdʃ i ³ k a ¹	ⁿdʃ i ³ k a ¹	irregular, expected ⁿdika	galindo-sanchez2009vocabulario
91	PRICKLY PEAR CACTUS	nopal	564	AbasoloValleMixtec	mi'ncha	mi'ncha	m i ³ ʔ ⁿdʃ a ³	m i ³ ʔ ⁿdʃ a ³	NA	galindo-sanchez2009vocabulario
92	MUSHROOM	hongo	455	AbasoloValleMixtec	tsi'i	tsi'i	ts i ³ ʔ i ³	ts i ³ ʔ i ³	NA	galindo-sanchez2009vocabulario
93	MEAT	carne	418	AbasoloValleMixtec	kuñu	kuñu	k u ³ ɲ u ³	k u ³ ɲ u ³	NA	galindo-sanchez2009vocabulario
94	GRIDDLE	comal	310	AbasoloValleMixtec	tsio	tsio	ts i ³ o ¹	ts i ³ o ¹	NA	galindo-sanchez2009vocabulario
95	COOKING POT	olla	138	AbasoloValleMixtec	kìsi	kìsi	k i ¹ s i ³	k i ¹ s i ³	NA	galindo-sanchez2009vocabulario
96	OVEN	horno	17	AbasoloValleMixtec	tsìtù	tsìtù	ts i ¹ t u ¹	ts i ¹ t u ¹	NA	galindo-sanchez2009vocabulario
97	FIRE	lumbre, fuego	240	AbasoloValleMixtec	ñu'un	ñu'un	ɲ u ³ ʔ ũ ³	ɲ u ³ ʔ ũ ³	NA	galindo-sanchez2009vocabulario
98	ASH	ceniza	5	AbasoloValleMixtec	yàà	yàà	ʒ a ¹ a ¹	ʒ a ¹ a ¹	NA	galindo-sanchez2009vocabulario
99	SMOKE (EXHAUST)	humo	682	AbasoloValleMixtec	ñu'ma	ñu'ma	ɲ u ³ ʔ m a ³	ɲ u ³ ʔ m a ³	NA	galindo-sanchez2009vocabulario
100	GARBAGE	basura	279	AbasoloValleMixtec	mi'í	mi'í	m i ³ ʔ i ⁵	m i ³ ʔ i ⁵	NA	galindo-sanchez2009vocabulario
101	PLATE	plato	545	AbasoloValleMixtec	ko'o	ko'o	k o ³ ʔ o ¹	k o ³ ʔ o ¹	NA	galindo-sanchez2009vocabulario
102	GOURD BOWL	jícara	291	AbasoloValleMixtec	yatsi	yatsi	ʒ a ³ ts i ³	ʒ a ³ ts i ³	NA	galindo-sanchez2009vocabulario
103	THREAD	hilo	768	AbasoloValleMixtec	yu'va	yu'va	ʒ u ³ ʔ β a ³	ʒ u ³ ʔ β a ³	NA	galindo-sanchez2009vocabulario
104	COMB	peine	136	AbasoloValleMixtec	kuika	kuika	kʷ i ³ k a ³	kʷ i ³ k a ³	NA	galindo-sanchez2009vocabulario
106	HOLE	agujero, hoyo	341	AbasoloValleMixtec	yavi	yavi	ʒ a ³ β i ³	ʒ a ³ β i ³	NA	galindo-sanchez2009vocabulario
107	SOAP	jabón	690	AbasoloValleMixtec	nama	nama	n a ³ m a ³	n a ³ m a ³	NA	galindo-sanchez2009vocabulario
108	RING	anillo	604	AbasoloValleMixtec	xe'e	xe'e	ʃ e ³ ʔ e ³	ʃ e ³ ʔ e ³	NA	galindo-sanchez2009vocabulario
109	MOON	luna	430	AbasoloValleMixtec	yòò	yòò	ʒ o ¹ o ¹	ʒ o ¹ o ¹	NA	galindo-sanchez2009vocabulario
110	CLOUD	nube	120	AbasoloValleMixtec	víkò	víkò	β i ⁵ k o ¹	β i ⁵ k o ¹	NA	galindo-sanchez2009vocabulario
111	WATER	agua	222 400	AbasoloValleMixtec	chikui	chi-kui	tʃ i ³ + kʷ i ³	tʃ i ³ + kʷ i ³	NA	galindo-sanchez2009vocabulario
112	RAIN (PRECIPITATION)	lluvia	586	AbasoloValleMixtec	savi	savi	s a ³ β i ³	s a ³ β i ³	NA	galindo-sanchez2009vocabulario
