ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
10375	MEAT	carne	418	SanJuanNumiMixtec	ku̧n̥u̧	ku̧n̥u̧	k ũ ɲ ũ	k u ɲ u	NA	josserand1983mixtec
10376	MEAT	carne	418	SanPedroTututepecMixtec	ko̧ño̧	ko̧ño̧	k õ ɲ õ	k o ɲ o	NA	josserand1983mixtec
10377	TWENTY	veinte	809	SanSebastianMonteMixtec	òkò	òkò	o ¹ k o ¹	o ¹ k o ¹	NA	solano2020san-sebastian
10378	TWO	dos	811	SantaLuciaMonteverdeMixtec	uu	uu	u u	u u	NA	josserand1983mixtec
10379	GREEN BEAN	ejote	308	SanAgustinTlacotepecMixtec	ⁿdiči	ⁿdiči	ⁿd i tʃ i	ⁿd i tʃ i	NA	josserand1983mixtec
10380	FACE	cara	210	SanMartinDuraznosMixtec	nùù	nùù	n u ¹ u ¹	n u ¹ u ¹	NA	hernandez2020san-martin
10381	GREEN BEAN	ejote	24 607	SanAntonioTepetlapaMixtec	ⁿduti-yuta	ⁿduti-yuta	ⁿd u t i + j u t a	ⁿd u t i + j u t a	NA	josserand1983mixtec
10384	COMB	peine	136	SantiagoPinotepaNacionalMixtec	kuka	kuka	k u k a	k u k a	NA	josserand1983mixtec
10385	FIRE	lumbre, fuego	240	SantoDomingoTonahuixtlaMixtec	ñú̧ʔú̧	ñú̧ʔú̧	ɲ ũ ⁵ ʔ ũ ⁵	ɲ u ⁵ ʔ ũ ⁵	NA	josserand1983mixtec
10387	MAGUEY	maguey	409	SantosReyesTepejilloMixtec	žāƀì	žāƀì	ʒ a ³ β i ¹	ʒ a ³ β i ¹	NA	josserand1983mixtec
10388	INTESTINES	tripas	367	SanAndresYutatioMixtec	xiti	xiti	ʃ i ³ t i ³	ʃ i ³ t i ³	NA	williams2017diccionario
10389	CORN FIELD	milpa	145	SantiagoTamazolaMixtec	ʔutu	ʔutu	ʔ u t u	u t u	NA	josserand1983mixtec
10390	METAL	fierro, metal	368	TepangoMixtec	kaa	kaa	k a ¹ a ¹	k a ¹ a ¹	NA	hills1990syntactic
10391	OWNER	dueño, señor	485 512	SanMiguelAhuehuetitlanMixtec	stoʔo	s-toʔo	s + t o ʔ o	s + t o ʔ o	NA	josserand1983mixtec
10393	COOKING POT	olla	138	SanPedroAtoyacMixtec	kisi	kisi	k i s i	k i s i	NA	josserand1983mixtec
10394	CORN	maíz	141	SantiagoTilantongoMixtec	nu̧ni̧	nu̧ni̧	n ũ n ĩ	n u n i	NA	josserand1983mixtec
10401	ANIMAL	animal	2	SanJeronimoProgresoMixtec	kíti	kíti	k i ⁵ t i ¹	k i ⁵ t i ¹	NA	shields1988syntactic
10402	GOOD	bueno/a	286	SanMiguelAhuehuetitlanMixtec	ƀaʔa	ƀaʔa	β a ʔ a	β a ʔ a	NA	josserand1983mixtec
10404	FIFTEEN	quinze	234	SanJeronimoXayacatlanMixtec	saʔu	saʔu	s a ʔ u	s a ʔ u	NA	josserand1983mixtec
10407	MAT	petate	416	SantiagoTlazoyaltepecMixtec	žuu	žuu	ʒ u u	ʒ u u	NA	josserand1983mixtec
10408	CHILD (DESCENDANT)	hijo, hija	103	SantaMariaYolotepecMixtec	seʔe	seʔe	s e ʔ e	s e ʔ e	NA	josserand1983mixtec
10409	SEVEN	siete	638	SanSebastianTecomaxtlahuacaMixtec	ʔìxà	ʔìxà	ʔ i ¹ x a ¹	i ¹ x a ¹	irregular, expected iʃa	josserand1983mixtec
10411	WORD	palabra	863	LaBateaMixtec	tù'un	tù'un	t u ¹ ʔ ũ ³	t u ¹ ʔ ũ ³	NA	ramirez2020vocabulario
10413	FROG	rana	263	SanBartolomeYucuaneMixtec	saʔƀa	saʔƀa	s a ʔ β a	s a ʔ β a	NA	josserand1983mixtec
10414	MOUTH	boca	447	PiedraAzulMixtec	yu'ǔ	yu'ǔ	j u ³ ʔ u ¹⁵	j u ³ ʔ u ¹⁵	NA	mendoza2020vocabulario
10415	POOR	pobre	548	SanPedroYosonamaMixtec	nda'u	nda'u	ⁿd a ʔ u	ⁿd a ʔ u	NA	gittlen2016gramatica
10416	RICH	rico	599	SanPedroYosonamaMixtec	kuika	kuika	kʷ i k a	kʷ i k a	NA	gittlen2016gramatica
10420	FIFTEEN	quinze	761 244	SantaCatarinaTlaltempanMixtec	uši-u̧ʔu̧	uši-u̧ʔu̧	u ʃ i + ũ ʔ ũ	u ʃ i + ũ ʔ ũ	NA	josserand1983mixtec
10421	SEVEN	siete	638	SantiagoYosonduaMixtec	ūshya	ūshya	u ³ ʃʲ a ¹	u ³ ʃʲ a ¹	NA	farris1992syntactic
10422	TORTILLA	tortilla	789	SantoTomasOcotepecMixtec	staa	staa	s t a ¹ a ¹	s t a ¹ a ¹	NA	alexander1988syntactic
10423	WIDE	ancho	845	TlahuapaMixtec	ndìkà	ndìkà	ⁿd i ¹ k a ¹	ⁿd i ¹ k a ¹	NA	reyes-basurto2020tlahuapa
10425	SQUIRREL	ardilla	9 698	SanJorgeNuchitaMixtec	ti-kʷa̧ñi̧	ti-kʷa̧ñi̧	t i + kʷ ã ɲ ĩ	t i + kʷ a ɲ i	NA	josserand1983mixtec
10426	YEAR	año	872	XayacatlanBravoMixtec	kʷìà	kʷìà	kʷ i ¹ a ¹	kʷ i ¹ a ¹	NA	josserand1983mixtec
10427	CORN FIELD	milpa	146	SantaMariaYucuhitiMixtec	ƀìžū	ƀìžū	β i ¹ ʒ u ³	β i ¹ j u ³	NA	josserand1983mixtec
10428	TAIL	cola	635	YoloxochitlMixtec	su'¹ma⁴	su'¹ma⁴	s u ¹ ʔ m a ⁵	s u ¹ ʔ m a ⁵	NA	amith2021recursos
10429	WATER	agua	402	SantoDomingoHuendioMixtec	ⁿdūtē	ⁿdūtē	ⁿd u ³ t e ³	ⁿd u ³ t e ³	NA	Becerra Roldan p.c.
10430	HOUSE	casa	363	SanBartoloSoyaltepecMixtec	weʔe	weʔe	w e ʔ e	w e ʔ e	NA	josserand1983mixtec
10431	DISEASE	enfermedad	172	SantaMariaZacatepecMixtec	kue'e	kue'e	kʷ e ʔ e	kʷ e ʔ e	NA	towne2011gramatica
10432	FIRE	lumbre, fuego	240	YucunaniMixtec	ñu'ù	ñu'ù	ɲ u ³ ʔ u ¹	ɲ u ³ ʔ u ¹	NA	salazar2020yucunani
10433	HOUSE	casa	363	SanSebastianMonteMixtec	ve'e	ve'e	β e ³ ʔ e ³	β e ³ ʔ e ³	NA	solano2020san-sebastian
10434	GOURD BOWL	jícara	291	SantaMariaZacatepecMixtec	ja²ʧĩ²ʔ	ja²ʧĩ²ʔ	j a ³ tʃ ĩ ³ ʔ	j a ³ tʃ ĩ ³ ʔ	NA	swanton2021observaciones
10435	HERBACEOUS PLANT	hierba	332	YucunutiBenitoJuarezMixtec	žùkù	žùkù	ʒ u ¹ k u ¹	ʒ u ¹ k u ¹	NA	josserand1983mixtec
10436	GRASS	zacate, pasto	294	YucuquimiOcampoMixtec	i²ta²	i²ta²	i ³ t a ³	i ³ t a ³	NA	swanton2021observaciones
10437	DEER	venado	164	SantiagoApoalaMixtec	iđu	iđu	i ð u	i ð u	NA	josserand1983mixtec
10439	EAR	oreja	194	SanMiguelAchiutlaMixtec	soʔo	soʔo	s o ʔ o	s o ʔ o	NA	josserand1983mixtec
10440	RIVER	río	607	SanJuanTeitaMixtec	ṣ̌ute	ṣ̌ute	ʂ u t e	ʃ u t e	NA	josserand1983mixtec
10441	SEVEN	siete	638	SantaMariaAcatepecMixtec	usa	usa	u s a	u s a	NA	josserand1983mixtec
10442	PUS	pus	574	SanMiguelChicahuaMixtec	ⁿřakʷa	ⁿřakʷa	ⁿr a kʷ a	ⁿd a kʷ a	NA	josserand1983mixtec
10444	NECK	cuello	465	SanMiguelElGrandeMixtec	sukū̧	sukū̧	s u k ũ ¹	s u k ũ ¹	NA	josserand1983mixtec
10445	NET	red, rede	469	AlacatlatzalaMixtec	ñono̠	ñono̠	ɲ o ³ n o ¹	ɲ o ³ n o ¹	NA	zylstra2012gramatica
10448	FIVE	cinco	244	SantaMariaApazcoMixtec	o̧ʔo̧	o̧ʔo̧	ũ ʔ ũ	ũ ʔ ũ	NA	josserand1983mixtec
10451	TOOTH	diente	785	SanAgustinChayucoMixtec	noho yo	noho yo	n o ʔ o	n o ʔ o	NA	pensinger1974diccionario
10452	SQUIRREL	ardilla	30 698	SanPedroJicayanMixtec	la-kʷa̧ñu̧	la-kʷa̧ñu̧	l a + kʷ ã ɲ ũ	l a + kʷ a ɲ u	NA	josserand1983mixtec
10453	SIX	seis	652	AlcozaucaGuerreroMixtec	i¹jũ¹	i¹jũ¹	i ¹ ɲ u ¹	i ¹ ɲ u ¹	NA	swanton2021observaciones
10454	TEN	diez	761	SantaCruzBravoMixtec	uši	uši	u ʃ i	u ʃ i	NA	josserand1983mixtec
10455	BLOUSE (WOVEN)	camisa	69	SantiagoIxtaltepecMixtec	đu̧ʔnu̧	đu̧ʔnu̧	ð ũ ʔ n ũ	ð ũ ʔ n u	NA	josserand1983mixtec
10459	BED	cama, lecho	26	SanPedroJocotipacMixtec	ṣ̌ito	ṣ̌ito	ʂ i t o	ʃ i t o	NA	josserand1983mixtec
10460	MAGUEY	maguey	409	SantiagoIxtayutlaMixtec	yaƀi	yaƀi	j a β i	j a β i	NA	josserand1983mixtec
10462	HONEY	miel	29	CoicoyanlasFloresMixtec	ñu̧ñu̧	ñu̧ñu̧	ɲ ũ ɲ ũ	ɲ u ɲ u	NA	josserand1983mixtec
10466	SALT	sal	624	CuatzoquitengoMixtec	ñì̧ì̧	ñì̧ì̧	ɲ ĩ ¹ ĩ ¹	ɲ i ¹ ĩ ¹	NA	josserand1983mixtec
10467	NIGHT TIME	de noche	839 481	SanPedroJocotipacMixtec	nȩ-ni̧ñu̧	nȩ-ni̧ñu̧	n ẽ + n ĩ ɲ ũ	n e + n i ɲ u	NA	josserand1983mixtec
10468	TOMATO	jitomate	9 775	SanEstebanAtatlahucaMixtec	tɨnana	tɨ-nana	t ɨ ³ + n ã ³ a ³	t ɨ ³ + n a ³ a ³	NA	alexander1980gramatica
10470	EIGHT	ocho	207	SantaAnaCuauhtemocMixtec	u̧na̧	u̧na̧	ũ n ã	u n a	NA	josserand1983mixtec
10471	SMOKE (EXHAUST)	humo	682	CuyamecalcoVillaZaragozaMixtec	ñu̧ʔmȩ	ñu̧ʔmȩ	ɲ ũ ʔ m ẽ	ɲ u ʔ m e	NA	josserand1983mixtec
10472	BEE	abeja	9 29	ElJicaralMixtec	tíñu̠ñú	tí-ñu̠ñú	t i ⁵ + ɲ u ¹ ɲ u ⁵	t i ⁵ + ɲ u ¹ ɲ u ⁵	NA	martin2020diccionario
10474	MUD	lodo	449	SanMartinEstadoMixtec	ⁿdaʔži	ⁿdaʔži	ⁿd a ʔ ʒ i	ⁿd a ʔ ʒ i	NA	josserand1983mixtec
10475	MAN	hombre	414	SanMartinPerasMixtec	ȼʸàxá	ȼʸàxá	tsʲ a ¹ x a ⁵	tsʲ a ¹ x a ⁵	NA	josserand1983mixtec
10476	SEVEN	siete	638	SantaCatarinaEstetlaMixtec	usa	usa	u s a	u s a	NA	josserand1983mixtec
10477	MEAT	carne	418	SanFranciscoSayultepecMixtec	sa̧ʔa̧	sa̧ʔa̧	k ũ ɲ ũ	k u ɲ u	NA	josserand1983mixtec
10478	MOUNTAIN OR HILL	monte, cerro	437	SanMiguelPiedrasMixtec	žuku	žuku	ʒ u k u	ʒ u k u	NA	josserand1983mixtec
10479	GARBAGE	basura	282	IxpantepecNievesMixtec	(seʔe)	seʔe	s e ʔ e	s e ʔ e	NA	josserand1983mixtec
10480	TEN	diez	761	SantaMariaHuazolotitlanMixtec	uči	uči	u tʃ i	u tʃ i	NA	josserand1983mixtec
10482	FOUR	cuatro	260	SantaCruzItundujiaMixtec	ku̧u̧	ku̧u̧	k ũ ũ	k ũ ũ	NA	josserand1983mixtec
10483	GRASS	zacate, pasto	294	LaBateaMixtec	ichà	ichà	i ³ tʃ a ¹	i ³ tʃ a ¹	NA	ramirez2020vocabulario
10484	GREEN BEAN	ejote	308	SantiagoJamiltepecMixtec	ⁿdʸitʸi	ⁿdʸitʸi	ⁿdʲ i tʲ i	ⁿd i t i	NA	josserand1983mixtec
10485	FURROW	surco	272	SantiagoJamiltepecMixtec	yukun	yukun	j u ¹ k ũ ¹	j u ¹ k ũ ¹	NA	johnson1988syntactic
10487	EIGHT	ocho	207	SantiagoJuxtlahuacaMixtec	u̧na̧	u̧na̧	ũ n ã	u n a	NA	josserand1983mixtec
10489	LIME (MATERIAL)	cal	399	SantaMariaJicaltepecMixtec	kākā	kākā	k a ³ k a ³	k a ³ k a ³	NA	durr1987preliminary
10490	MOON	luna	430	SanPedroMolinosMixtec	žòò	žòò	ʒ o ¹ o ¹	ʒ o ¹ o ¹	NA	durr1987preliminary
10491	FURROW	surco	272	SanPedroTidaaMixtec	žuku̧	žuku̧	ʒ u k ũ	ʒ u k ũ	NA	josserand1983mixtec
10492	SEVEN	siete	638	SantiagoNuyooMixtec	ʔùšà	ʔùšà	ʔ u ¹ ʃ a ¹	u ¹ ʃ a ¹	irregular, expected uxa	josserand1983mixtec
10493	BANANA	plátano	13	SanMarcoslaFlorMixtec	ntsijkǎ	ntsijkǎ	ⁿds i ³ h k a ¹⁵	ⁿds i ³ h k a ¹⁵	NA	anonymous2020san-marcos
10494	SEVEN	siete	638	SantaCatarinaMechoacanMixtec	uča	uča	u tʃ a	u tʃ a	NA	josserand1983mixtec
10495	BELLY OR STOMACH	barriga	36	MetlatonocMixtec	tīšī	tīšī	t i ³ ʃ i ³	t i ³ ʃ i ³	NA	durr1987preliminary
10496	FOUR	cuatro	260	GuadalupeVillahermosaMixtec	kò̧mi̧	kò̧mi̧	k õ ¹ m ĩ	k o ¹ m i	pot. irregular, probably kumi	josserand1983mixtec
10497	FIRE	lumbre, fuego	240	SanJuanNumiMixtec	n̥u̧ʔu̧	n̥u̧ʔu̧	ɲ ũ ʔ ũ	ɲ u ʔ ũ	NA	josserand1983mixtec
10498	COOKING POT	olla	138	SanPedroTututepecMixtec	kɨsɨ	kɨsɨ	k ɨ s ɨ	k ɨ s ɨ	NA	josserand1983mixtec
10499	HOT	caliente	357	SanSebastianMonteMixtec	iní	iní	i ³ n i ⁵	i ³ n i ⁵	NA	solano2020san-sebastian
10500	THREE	tres	771	SantaLuciaMonteverdeMixtec	u̧ni̧	u̧ni̧	ũ n ĩ	u n i	NA	josserand1983mixtec
10501	SALT	sal	624	SanAgustinTlacotepecMixtec	ñi̧i̧	ñi̧i̧	ɲ ĩ ĩ	ɲ i ĩ	NA	josserand1983mixtec
10502	TONGUE	lengua (cuerpo)	781	SanMartinDuraznosMixtec	yáà	yáà	ʒ a ⁵ a ¹	ʒ a ⁵ a ¹	NA	hernandez2020san-martin
10503	SALT	sal	624	SanAntonioTepetlapaMixtec	ñi̧i̧	ñi̧i̧	ɲ ĩ ĩ	ɲ i ĩ	NA	josserand1983mixtec
10506	HOLE	agujero, hoyo	341	SantiagoPinotepaNacionalMixtec	yaƀi	yaƀi	j a β i	j a β i	NA	josserand1983mixtec
10507	SMOKE (EXHAUST)	humo	682	SantoDomingoTonahuixtlaMixtec	ñu̧ʔma̧	ñu̧ʔma̧	ɲ ũ ʔ m ã	ɲ u ʔ m a	NA	josserand1983mixtec
10509	CORN	maíz	141	SantosReyesTepejilloMixtec	no̧ni̧	no̧ni̧	n õ n ĩ	n o n i	NA	josserand1983mixtec
10510	FOOT	pie	258	SanAndresYutatioMixtec	sa'a̠	sa'a̠	s a ³ ʔ a ¹	s a ³ ʔ a ¹	NA	williams2017diccionario
10511	CORN DOUGH	masa	142	SantiagoTamazolaMixtec	žuša	žuša	ʒ u ʃ a	ʒ u ʃ a	NA	josserand1983mixtec
10512	BEESWAX	cera	33	TepangoMixtec	ñūhmah	ñūhmah	ɲ u ³ ʔ m a ¹ ʔ	ɲ u ³ ʔ m a ¹ ʔ	NA	hills1990syntactic
10513	PRIEST	sacerdote	568	SanMiguelAhuehuetitlanMixtec	θütü	θütü	θ ʉ t ʉ	θ u t u	NA	josserand1983mixtec
10514	GRIDDLE	comal	310	SantaMariaPenolesMixtec	šíó	šíó	ʃ i ⁵ o ⁵	ʃ i ⁵ o ⁵	NA	josserand1983mixtec
10515	OVEN	horno	17	SanPedroAtoyacMixtec	čitu̧	čitu̧	tʃ i t ũ	tʃ i t ũ	NA	josserand1983mixtec
10516	CORN FIELD	milpa	145	SantiagoTilantongoMixtec	itu	itu	i t u	i t u	NA	josserand1983mixtec
10519	FOAM	espuma	725 250	SanJeronimoProgresoMixtec	čiki-ʔni̧u̧	či-kiʔni̧u̧	tʃ i + k i ʔ n ĩ ũ	tʃ i k i + ʔ n i ũ	NA	josserand1983mixtec
10521	SQUIRREL	ardilla	9 698	SantoTomasOcotepecMixtec	škʷâ̧ñū̧	š-kʷâ̧ñū̧	ʃ + kʷ ã ⁵¹ ɲ ũ ³	ʃ + kʷ a ⁵¹ ɲ u ³	NA	josserand1983mixtec
10522	BIRD	pájaro	49	SanJeronimoProgresoMixtec	lāā	lāā	l a ³ a ³	l a ³ a ³	NA	shields1988syntactic
10523	SWEET	dulce	735	SanMiguelAhuehuetitlanMixtec	ƀiθi	ƀiθi	β i θ i	β i θ i	NA	josserand1983mixtec
10524	SOAP	jabón	694	SanJuanCoatzospamMixtec	nama	nama	n a m a	n a m a	NA	small1990syntactic
10528	BROTHER (OF MAN)	hermano de hombre	84	SantaMariaYolotepecMixtec	ña̧ni̧	ña̧ni̧	ɲ ã n ĩ	ɲ a n i	NA	josserand1983mixtec
10529	EIGHT	ocho	207	SanSebastianTecomaxtlahuacaMixtec	ʔu̧na̧	ʔu̧na̧	ʔ ũ n ã	u n a	NA	josserand1983mixtec
10531	BLAME	culpa	61	LaBateaMixtec	kwàchi	kwàchi	kʷ a ¹ tʃ i ³	kʷ a ¹ tʃ i ³	NA	ramirez2020vocabulario
10534	EAR	oreja	194	PiedraAzulMixtec	sò'o	sò'o	s o ¹ ʔ o ³	s o ¹ ʔ o ³	NA	mendoza2020vocabulario
10535	HOT	caliente	357	SanPedroYosonamaMixtec	i'ni	i'ni	i ʔ n i	i ʔ n i	NA	gittlen2016gramatica
10539	POOR	pobre	548	SantaCatarinaTlaltempanMixtec	ⁿdaʔƀi	ⁿdaʔƀi	ⁿd a ʔ β i	ⁿd a ʔ β i	NA	josserand1983mixtec
10540	NINE	nueve	490	SantiagoYosonduaMixtec	ɨ̄ɨn	ɨ̄ɨn	ɨ ³ ɨ̃ ¹	ɨ ³ ɨ̃ ¹	NA	farris1992syntactic
10541	BEAN	frijol(es)	24	SantoTomasOcotepecMixtec	ndūchī	ndūchī	ⁿd u ³ tʃ i ³	ⁿd u ³ tʃ i ³	NA	alexander1988syntactic
10542	NEW	nuevo/a	476	TlahuapaMixtec	xàá	xàá	ʃ a ¹ a ⁵	ʃ a ¹ a ⁵	NA	reyes-basurto2020tlahuapa
10544	CAT	gato	88	SanJorgeNuchitaMixtec	(mi̧to)	mi̧to	m ĩ t o	m i t o	NA	josserand1983mixtec
10545	NOW OR TODAY	ahora, hoy	501	XayacatlanBravoMixtec	vītnī̧	vītnī̧	β i ³ tⁿ ĩ ³	β i ³ tⁿ ĩ ³	NA	josserand1983mixtec
10546	CORN STALK	rastrojo	150	SantaMariaYucuhitiMixtec	ñà̧mà̧	ñà̧mà̧	ɲ ã ¹ m ã ¹	ɲ a ¹ m a ¹	NA	josserand1983mixtec
10548	RIVER	río	607	SantoDomingoHuendioMixtec	ʒùtē	ʒùtē	ʒ u ¹ t e ³	ʒ u ¹ t e ³	NA	Becerra Roldan p.c.
10549	POST	horcón	387	SanBartoloSoyaltepecMixtec	đɨ̧ʔɨ̧	đɨ̧ʔɨ̧	ð ɨ̃ ʔ ɨ̃	ð ɨ̃ ʔ ɨ̃	irregular	josserand1983mixtec
10551	ASH	ceniza	5	YucunaniMixtec	yàá	yàá	j a ¹ a ⁵	j a ¹ a ⁵	NA	salazar2020yucunani
10552	PATH	camino	523	SanSebastianMonteMixtec	ichì	ichì	i ³ tʃ i ¹	i ³ tʃ i ¹	NA	solano2020san-sebastian
10554	CORN	maíz	141	YucunutiBenitoJuarezMixtec	nu̧ni̧	nu̧ni̧	n ũ n ĩ	n u n i	NA	josserand1983mixtec
10555	FLOWER	flor	246	YucuquimiOcampoMixtec	i²ta²	i²ta²	i ³ t a ³	i ³ t a ³	NA	swanton2021observaciones
10556	BROTHER (OF MAN)	hermano de hombre	84	SanMarcoslaFlorMixtec	ñanì	ñanì	ɲ a ³ n i ¹	ɲ a ³ n i ¹	NA	anonymous2020san-marcos
10557	CAT	gato	91	SantiagoApoalaMixtec	ƀilu	ƀilu	β i l u	β i l u	NA	josserand1983mixtec
10559	NOSE	naríz	496	SanMiguelAchiutlaMixtec	šitNi̧	šitNi̧	ʃ i tⁿ̥ ĩ	ʃ i tⁿ ĩ	NA	josserand1983mixtec
10560	DEW	rocío	167	SanJuanTeitaMixtec	žužu	žužu	ʒ u ʒ u	ʃ u ʃ u	NA	josserand1983mixtec
10561	EIGHT	ocho	207	SantaMariaAcatepecMixtec	u̧ña̧	u̧ña̧	ũ ɲ ã	u ɲ a	NA	josserand1983mixtec
10562	URINE	orina	826	SanMiguelChicahuaMixtec	(đači)đađa	đađa	ð a ð a	ð a ð a	NA	josserand1983mixtec
10565	RING	anillo	604	AlacatlatzalaMixtec	se'e	se'e	s e ³ ʔ e ³	s e ³ ʔ e ³	NA	zylstra2012gramatica
10567	NOW OR TODAY	ahora, hoy	501	SanMiguelElGrandeMixtec	ƀitna̧	ƀitna̧	β i ³ tⁿ ã ³	β i ³ tⁿ ã ³	NA	josserand1983mixtec
10568	NIGHT TIME	de noche	481	SanMiguelElGrandeMixtec	ni̧ñū̧	ni̧ñū̧	n ɨ̃ ³ ɲ ũ ¹	n ɨ ³ ɲ u ¹	NA	josserand1983mixtec
10569	SIX	seis	652	SantaMariaApazcoMixtec	i̧ñu̧	i̧ñu̧	ĩ ɲ ũ	i ɲ u	NA	josserand1983mixtec
10570	SEVEN	siete	638	SantaMariaApazcoMixtec	usa	usa	u s a	u s a	NA	josserand1983mixtec
10571	NOW OR TODAY	ahora, hoy	501	SantiagoCacaloxtepecMixtec	ƀiči̧	ƀiči̧	β i tʃ ĩ	β i tʃ ĩ	NA	josserand1983mixtec
10572	NOW OR TODAY	ahora, hoy	506	SantiagoCacaloxtepecMixtec	žači̧	žači̧	ʒ a tʃ ĩ	ʒ a tʃ ĩ	NA	josserand1983mixtec
10575	CAT	gato	88	SanPedroJicayanMixtec	(mi̧tu)	mi̧tu	m ĩ t u	m i t u	NA	josserand1983mixtec
10576	SEVEN	siete	638	AlcozaucaGuerreroMixtec	u¹ʃa¹	u¹ʃa¹	u ¹ ʃ a ¹	u ¹ ʃ a ¹	NA	mendoza-ruiz2016fonologia
10577	FIFTEEN	quinze	234	SantaCruzBravoMixtec	ša̧ʔu̧	ša̧ʔu̧	ʃ ã ʔ ũ	ʃ ã ʔ ũ	NA	josserand1983mixtec
10578	TOWN OR VILLAGE	pueblo	794	SantiagoIxtaltepecMixtec	ỹu̧u̧	ỹu̧u̧	ɲ ũ ũ	ɲ u ũ	NA	josserand1983mixtec
10579	FINGERNAIL	uña	237	ChalcatongoHidalgoMixtec	ti³i²+³	ti³i²+³	t i ⁵ i ³	t i ⁵ i ³	NA	swanton2021observaciones
10580	FURROW	surco	272	ChalcatongoHidalgoMixtec	žuku	žuku	ʒ u k u	ʒ u k u	NA	josserand1983mixtec
10582	STOOL	silla	32 717	SanPedroJocotipacMixtec	ti-ȼayu	ti-ȼayu	t i + ts a j u	t i + ts a j u	NA	josserand1983mixtec
10583	CORN	maíz	141	SantiagoIxtayutlaMixtec	nu̧ñi̧	nu̧ñi̧	n ũ ɲ ĩ	n u ɲ i	NA	josserand1983mixtec
10585	EGG	huevo, blanquillo	204	CoicoyanlasFloresMixtec	ⁿdìƀí	ⁿdìƀí	ⁿd i ¹ β i ⁵	ⁿd i ¹ β i ⁵	NA	josserand1983mixtec
10586	DEW	rocío	167	SanJuanCoatzospamMixtec	šušu	šušu	ʃ u ʃ u	ʃ u ʃ u	NA	josserand1983mixtec
10589	SUGAR CANE	caña	734	CuatzoquitengoMixtec	ⁿdòò	ⁿdòò	ⁿd o ¹ o ¹	ⁿd o ¹ o ¹	NA	josserand1983mixtec
10590	DAY (24 HOURS)	día	163	SanPedroJocotipacMixtec	kii	kii	k i i	k i i	NA	josserand1983mixtec
10591	AVOCADO	aguacate	8	SanEstebanAtatlahucaMixtec	tīchí	tīchí	t i ¹ tʃ i ⁵	t i ¹ tʃ i ⁵	NA	alexander1980gramatica
10593	TEN	diez	761	SantaAnaCuauhtemocMixtec	uṣ̌i	uṣ̌i	u ʂ i	u ʒ i	NA	josserand1983mixtec
10594	GARBAGE	basura	183	CuyamecalcoVillaZaragozaMixtec	žaka	žaka	ʒ a k a	j a k a	NA	josserand1983mixtec
10595	GOURD BOWL	jícara	291	CuyamecalcoVillaZaragozaMixtec	ñaxi̧	ñaxi̧	ɲ a x ĩ	ɲ a x ĩ	NA	josserand1983mixtec
10596	MUROID (MOUSE OR RAT)	ratón	444	ElJicaralMixtec	tǐin	tǐin	t i ¹⁵ ĩ ³	t i ¹⁵ ĩ ³	NA	martin2020diccionario
10598	RED	rojo	595	SanMartinEstadoMixtec	kʷaʔa	kʷaʔa	kʷ a ʔ a	kʷ a ʔ a	NA	josserand1983mixtec
10599	OWNER	dueño, señor	485 512	SanMartinPerasMixtec	stoʔo	s-toʔo	s + t o ʔ o	s + t o ʔ o	NA	josserand1983mixtec
10600	EIGHT	ocho	207	SantaCatarinaEstetlaMixtec	u̧na̧	u̧na̧	ũ n ã	u n a	NA	josserand1983mixtec
10601	MEAT	carne	421	SanFranciscoSayultepecMixtec	ku̧ñu̧	ku̧ñu̧	s ã ʔ ã	s ã ʔ ã	NA	josserand1983mixtec
10602	PLAIN	llanura, llano	535	SanMiguelPiedrasMixtec	žođo	žođo	ʒ o ð o	ʒ o ð o	NA	josserand1983mixtec
10603	GOURD BOWL	jícara	291	IxpantepecNievesMixtec	žasi	žasi	ʒ a s i	ʒ a s i	NA	josserand1983mixtec
10604	FIFTEEN	quinze	234	SantaMariaHuazolotitlanMixtec	ča̧ʔu̧	ča̧ʔu̧	tʃ ã ʔ ũ	tʃ ã ʔ ũ	NA	josserand1983mixtec
10606	FIVE	cinco	244	SantaCruzItundujiaMixtec	u̧ʔu̧	u̧ʔu̧	ũ ʔ ũ	ũ ʔ ũ	NA	josserand1983mixtec
10607	FLOWER	flor	246	LaBateaMixtec	ità	ità	i ³ t a ¹	i ³ t a ¹	NA	ramirez2020vocabulario
10609	BEAN	frijol(es)	24	SantiagoJamiltepecMixtec	ndutyi	ndutyi	ⁿd u ¹ tʲ i ¹	ⁿd u ¹ t i ¹	irregular tones, expected 3.3	johnson1988syntactic
10611	FIFTEEN	quinze	234	SantiagoJuxtlahuacaMixtec	ṣa̧ʔu̧	ṣa̧ʔu̧	ʂ ã ʔ ũ	ɕ ã ʔ ũ	NA	josserand1983mixtec
10613	BEESWAX	cera	33	SantaMariaJicaltepecMixtec	yu̧ma̧	yu̧ma̧	j ũ m ã	j u m a	NA	josserand1983mixtec
10615	TASSEL	espiga	751	SanPedroTidaaMixtec	žoko	žoko	ʒ o k o	ʒ o k o	NA	josserand1983mixtec
